id,number,title,mergeCommit,changedFiles,changedPackages
MDExOlB1bGxSZXF1ZXN0MzA5MTk4NA==,1,Javadocs and Comments,48632d1fb4f01b268b5d73be89c2ef8838e2849c,2,
MDExOlB1bGxSZXF1ZXN0MzA5MjYyOQ==,3,Javadoc generation with custom doclet,c862b040898e4969686556fbc47e84f81157c7fd,4,
MDExOlB1bGxSZXF1ZXN0MzExMTI2Ng==,4,Contrib request context servlet filters,315b635a46907dd367cb1c00a64c55eb6f3daefc,7,
MDExOlB1bGxSZXF1ZXN0MzExMzIwMQ==,5,Maven Central and binary download information.,ea1b5a76b4b3b92c29e722e3666ab0d290dd6023,1,
MDExOlB1bGxSZXF1ZXN0MzExMzk3MA==,6,Update Readme Files for Modules,1324e0cee894357e1c84fbb98eec3184c12b95d2,3,
MDExOlB1bGxSZXF1ZXN0MzEzMjgzNw==,7,Add link from Javadoc to hystrix-contrib/hystrix-request-servlet,0a5a34b7a73afd56e0451958f9211f646da25c2b,1,
MDExOlB1bGxSZXF1ZXN0MzE0NjA1Nw==,16,Change logger from info to debug for property changes,147351a3f7d6bd28aebbf6faaf9b6e3744d40535,1,
MDExOlB1bGxSZXF1ZXN0MzE0NzI1Ng==,17,href target so it opens from javadoc frame,0430b2135527742f9ab9e5e89839b8e79ac65cb6,1,
MDExOlB1bGxSZXF1ZXN0MzE2Mzk4OA==,18,Documenting a RuntimeException,c1122cdcb6c85ae79cc70df6351b3ee152920c27,1,
MDExOlB1bGxSZXF1ZXN0MzE2NDE1OQ==,19,Logger error on fallback failure,114f4f97aa8b84cdfcd2f401bc36ddfd66e5f957,2,
MDExOlB1bGxSZXF1ZXN0MzE2NzI2MA==,21,Capture exception from run() and expose getter,022fd76d1fef62364a26ed6c8b33a6ed03c93a14,1,
MDExOlB1bGxSZXF1ZXN0MzE2NzQyOA==,23,Default Collapser scope to REQUEST if using Setter,8f547ae659c4d933ebe38339ab30c191c5a3f367,1,
MDExOlB1bGxSZXF1ZXN0MzE4NDY4Ng==,27,Initialize HealthCounts to non-null value.,5ac40bedddcd5cd37f38c0fee913a9538af5782e,2,
MDExOlB1bGxSZXF1ZXN0MzE5MzAxMw==,29,Thread pools lost custom names in opensource refactoring,112a102a12620bfe5a51767d574abf26812b71fc,1,
MDExOlB1bGxSZXF1ZXN0MzE5Mzk2Ng==,30,Simplified access to HystrixCommandMetrics,18e7316b3487183c4dbd6961594e4b7074b94857,1,
MDExOlB1bGxSZXF1ZXN0MzE5NDU2MA==,31,Executable demo,d2df2c4391c42b4d6cd1fd6e7c665cd02b7334ac,12,
MDExOlB1bGxSZXF1ZXN0MzIyMzAwNw==,32,servo-event-stream module,7a938ee686b37e4fb406b417f5feffa1f1bd6534,7,
MDExOlB1bGxSZXF1ZXN0MzIyMzIwMg==,33,"Remove Servo dependency from core, move to submodule",a4d0849280baa84a139fda1cb49debd19de18398,12,
MDExOlB1bGxSZXF1ZXN0MzI0MDY0Ng==,35,Metrics event stream,ddd9dd7e7e5fa0a9cda1fcb2be2af8a9c71065e8,23,
MDExOlB1bGxSZXF1ZXN0MzI0MTE4Mg==,36,example webapp showing how to use ...,182979eb34c313f021cebf8e7980aaa773aff35a,6,
MDExOlB1bGxSZXF1ZXN0MzI0OTU4MA==,37,Migrate metrics stream from org.json.JSONObject to Jackson,412fcc3ef153f930845db168ff034980a4b4238f,9,
MDExOlB1bGxSZXF1ZXN0MzI5NDg0MQ==,42,Added module to publish metrics to Yammer Metrics,876940d450fd3456862bbd51dcadafae1f49e6e7,5,
MDExOlB1bGxSZXF1ZXN0MzMwODgxMA==,43,Fix the wrong percentile for latencyExecute_percentile_75 in the Servo publisher,d7d30c01240fd18fe82505f08e6155f2e0aa0da7,1,
MDExOlB1bGxSZXF1ZXN0MzMyMTcxMQ==,44,Hystrix Dashboard,159522bb72d91251a335c4f8a4280ff6ad840b00,39,
MDExOlB1bGxSZXF1ZXN0MzM0ODEwMQ==,47,Support pausing/resuming metrics poller,6c7ea4e2089f157b9838cd893a6fdcd44dbaf39b,2,
MDExOlB1bGxSZXF1ZXN0MzM0ODE2OA==,48,Fixing non-deterministic unit test,c324573bfcf7111b03e6e16cd01461e4eda9807b,1,
MDExOlB1bGxSZXF1ZXN0MzM2MjQ1Mw==,49,Cleaner design by injecting listener into constructor.,2af44b72fc572a6d2d17b76f7080e0bd8bacfa30,2,
MDExOlB1bGxSZXF1ZXN0MzM3NjIzOA==,50,Make javax.servlet-api a 'provided' dependency not 'compile',b9cd29a1bf4bee6ac8c23c880db58ddfd19350d5,2,
MDExOlB1bGxSZXF1ZXN0MzM3ODc4MA==,51,"Merging in gradle-template, specifically provided",ee5d7e8ebb3132ea32e4f9b685ddcd1a461aa255,5,
MDExOlB1bGxSZXF1ZXN0MzM4MTQ1Nw==,52,"Fixes for NEBULA-28, NEBULA-30, NEBULA-31",e12ec52d13c3e744892839b9b4190b88be8abb39,3,
MDExOlB1bGxSZXF1ZXN0MzQwNTAyMw==,56,Plugin bootstrapping,32471bf825027b8bb06218f6a41e3c9da64b184f,3,
MDExOlB1bGxSZXF1ZXN0MzQ2MjgyOA==,57,Dashboard js fix,b1b397b179169bcccb255a5d6eb020417c6cd38e,2,
MDExOlB1bGxSZXF1ZXN0MzQ2NTYzNw==,61,Request log with timeouts,33f88f6a94321f29004801fbbeabec5fff876e46,2,
MDExOlB1bGxSZXF1ZXN0MzQ2NTk1NQ==,62,applying js fixes to threadPool ui,87ca1dba783d39951ba695e0caebc2029eb4d719,3,
MDExOlB1bGxSZXF1ZXN0MzUwMjgxOQ==,64,"Added ""throws Exception"" to HystrixCommand run() method (Issue #63)",daeeaa69df39945561146d33a91db46111db20d8,1,
