id,number,title,mergeCommit,changedFiles,changedPackages
MDExOlB1bGxSZXF1ZXN0MTkzNDY5MA==,9,增加propertyPathTest3,a2b3a0c35b7c65527b7daa985f4d351830a2147e,1,
MDExOlB1bGxSZXF1ZXN0NDkwNDI0OQ==,29,Support for Generic Type in Setter-Method Added!,4beea79c8c941532033ef658d0ef98e7adb387f4,2,
MDExOlB1bGxSZXF1ZXN0NjE2MTE4Nw==,41,Fix Issue #40,17099234d9dbd33d0153ba9e302f3944dd1dce05,1,
MDExOlB1bGxSZXF1ZXN0ODY5NDEwOQ==,90,Fix issue #89,b53181560b448beef0a568a108684a0106942dcc,2,
MDExOlB1bGxSZXF1ZXN0MTAwOTIwODU=,114,"add ""extractValueFromSingleKeyModel"" property to FastJsonJsonView just l...",4ed058429e3b1c865261b73f829a88d32c14edbf,1,
MDExOlB1bGxSZXF1ZXN0MTg5NTUwMzE=,202,support org.springframework.cglib.proxy.Factory,48979c0d9d827f3007c2a31dc7889ce08fac0791,1,
MDExOlB1bGxSZXF1ZXN0MjA3MzIyMDg=,216,增加asm生成的代码dump功能,5df26f1932fa1898bad0a99b38af0e271dd3d8ba,2,
MDExOlB1bGxSZXF1ZXN0MjA5OTU1MDU=,217,improve ListSerializer,6dc49231249a18d25808c29a34c77678d58e5ad3,2,
MDExOlB1bGxSZXF1ZXN0MjE5NjU1NTI=,223,"Revert ""Optimize ThreadLocalCache while perusal the code.""",51a6126b5200d883656a371033ed3141ac1e85c9,2,
MDExOlB1bGxSZXF1ZXN0MjE5NzY5ODQ=,224,Fix approach #222. Optimize ThreadLocalCache to calculate the allocate size.,1faba061a54f639a0a31f00e1cdc46b312724609,2,
MDExOlB1bGxSZXF1ZXN0MzY2ODg2MjI=,343,增加ASMSerializerFactory dump字节码,269df1af7341faf27dae3b7bc7179de67f00447d,1,
MDExOlB1bGxSZXF1ZXN0MzkyMjExMjY=,368,bugfix: 通过jsonpath修改jsonarray中的值时抛出异常UnsupportedOperationException,ca8b396e9e5e90d34e38026025c1acae81de09cd,1,
MDExOlB1bGxSZXF1ZXN0NTgzOTQxNzc=,499,"browserCompatible feature add: double quote long fields exceed [-2^53+1, 2^53-1]",a65c402e2f32e39bd71a5768618a9076cfc1fa5f,4,
MDExOlB1bGxSZXF1ZXN0NjMwMjE2OTQ=,520,bug fixed for JDK 5、6、7 compatible,e7539bab9d22b93316f2bc712d2207c6b7dbe220,5,
MDExOlB1bGxSZXF1ZXN0NjYxMDg2MTY=,543,correct some spelling mistakes,4b79c7dd35338c784be508ef0345f9be37511830,7,2.0
MDExOlB1bGxSZXF1ZXN0NjYxMTEzODI=,544,FastJsonHttpMessageConverter增加Content-Length这个header,a3d980b1bde10d1e1537ba298867be6af77af761,1,1.0
MDExOlB1bGxSZXF1ZXN0NjYyNzY0NzM=,546,rm duplicated method,e75a0b395aca1e7ee1985aa0ec8b46d06c8f5054,2,1.0
MDExOlB1bGxSZXF1ZXN0NjYyOTUxMjg=,547,reimplement scanNULL && correct parse exception message,686908345f38d24015d5f7ab01879806ec181fa6,4,3.0
MDExOlB1bGxSZXF1ZXN0NjYzMDI3MDg=,549,correct parse exception message,a2f8c6afb956361ed7155a3c380ab5af6507e084,2,1.0
MDExOlB1bGxSZXF1ZXN0NjY5NzY1OTE=,558,Update FastJsonProvider and FastJsonHttpMessageConverter,40cd238822d5a4c2ee01420a5d6284e0baf54925,2,2.0
MDExOlB1bGxSZXF1ZXN0NjcxMzcyNjM=,560,Mock testcase and Use the new JSON.toJSONString(...) in provider,60dd3867171c1357bff58b1959be8b45ea8a5d75,8,5.0
MDExOlB1bGxSZXF1ZXN0NjcxOTQyMTI=,561,code format & add mock testcase,39a966b2cbc2325b386ee5209e9f81c6d34fb548,5,2.0
MDExOlB1bGxSZXF1ZXN0NjcyMTM5Mzg=,563,refactor,2841bfb3fa8b9f22807879e8e7d744522f7fab61,3,2.0
MDExOlB1bGxSZXF1ZXN0NjcyOTk3NzU=,567,add Provider testcase,56c608e05f052d586fc3943c25d0b590f5b871fc,9,3.0
MDExOlB1bGxSZXF1ZXN0NjczNTI5NTA=,571,Master,0b9e1a7cf65567405c159e3cd75df5aa1f8cd3b0,0,0.0
MDExOlB1bGxSZXF1ZXN0Njc2MzMyMTI=,575,Fix issue #574 add compatible with spring framework 4.2+.,ba143c1fac5b2a35082f9b4eaf41cced1a79b190,1,1.0
MDExOlB1bGxSZXF1ZXN0Njc2NTcwNDE=,579,Fix issue #578 #577 and #574,af9d4ec501344e6e4e1ac5d304c4335112d0dc3a,5,2.0
