id,number,title,mergeCommit,changedFiles,changedPackages
MDExOlB1bGxSZXF1ZXN0MzE3NTMyOA==,2,Pull request: Load default plugins dynamically,89574c7d7280021b212f343fc5ea2d91f0f435d1,1,
MDExOlB1bGxSZXF1ZXN0MzE3NTQwNQ==,3,Pull Request: Remove class mockable test from ClassImposterizer,baae7ca32e89ff2dc0e1f76a6ae12f99b65a7b14,9,
MDExOlB1bGxSZXF1ZXN0MzU1MTI3OQ==,5,Mock serialization/deserialization across classloader/JVM,ab36535b5870e45eaa93d22382cbd6de85c9bc82,34,
MDExOlB1bGxSZXF1ZXN0Mzc0NzIyMA==,6,Improved MockitoTestNGListener by making it reset argument captors before each test,f20c1daab43f40526960f6c292cb91768e1ff346,2,
MDExOlB1bGxSZXF1ZXN0MzkxODU1MQ==,7,Refactoring: Remove unused import,36ed8326125c8a348ebdd7c9f34813054a98b78a,1,
MDExOlB1bGxSZXF1ZXN0NzI4NjkxNA==,14,"Deprecated timeout().never(), in line with timeout().atMost()",52f086c5857b3554f964aab338859dcd0dc968a3,5,
MDExOlB1bGxSZXF1ZXN0NzI5MzE2OA==,15,Verification with timout measures time more more accurately,d83c8812bcc8d002f8e4bf6344fe8d7da5e0a25c,4,
MDExOlB1bGxSZXF1ZXN0OTQ4MzYwMQ==,18,Enabled continuous integration with Travis CI and coverage tracking with coveralls,8a48852a31868189d6a45c3c01d29a2c4dfa2009,8,
MDExOlB1bGxSZXF1ZXN0OTQ4NTY2MA==,19,Refactoring: Fixes env var to TERM for readability purpose on travis log when building with gradle,a243af07bc966c3930f9104e0c7b3f49191476b2,1,
MDExOlB1bGxSZXF1ZXN0OTgyMzk1NQ==,23,Refactoring: Fixed some typos in README.md,df584f0da80a14f3876a57c0a073cdac9f85fd1e,1,
MDExOlB1bGxSZXF1ZXN0MTA0OTYyMzE=,25,Refactoring: Gradle 1.9,e2c618f5075109e1101c6e595d6fb53fc9fd4129,5,
MDExOlB1bGxSZXF1ZXN0MTEwMzU5ODc=,28,Removed .java files from main mockito jar artifacts,9dafee2e9bc35af24d70c0b284bd19e68eb7867b,3,
MDExOlB1bGxSZXF1ZXN0MTMyMzQyMDI=,39,Allow calling real implementation of jdk8 extension methods,a871b1bc10e5408675228e64ada27edc918a2f16,8,
MDExOlB1bGxSZXF1ZXN0MTQ0MjMwMDQ=,47,Issue484 fix,e28752b779055717dec1e5c114c09d27e62f5c38,2,
MDExOlB1bGxSZXF1ZXN0MTQ4MjE3NTc=,50,Refactoring: Updates .travis fil to gradle 1.11,7b2aef5ceab2dc9454b7155c52e19503b63c64e3,1,
MDExOlB1bGxSZXF1ZXN0MTQ4MjQwMzA=,51,Proposal to add packaging to mockito-testng with gradle,27b57618696d72dd5f89bce5599d6b83c4cf9d29,3,
MDExOlB1bGxSZXF1ZXN0MTUxMzAxNTI=,53,Refactoring: Updated Travis CI configuration file to use the Gradle wrapper,21c59ab183eb0f1af181599168310b69b0e3f661,4,
MDExOlB1bGxSZXF1ZXN0MTU2NzgzMzA=,56,Fixed wrong javadoc for AdditionalAnswers,f568a79551dbc93ef053dd986a3ccc501f21e2ea,1,
MDExOlB1bGxSZXF1ZXN0MTY4NjcxMTc=,58,Added useful links to README.md,aa0fec177371c143de3d24c8c4e7ea458bb6bdcc,1,
MDExOlB1bGxSZXF1ZXN0MTgzMjc0MTg=,62,Coveralls coverage tracking tool allows Mockito source code preview,692146855bf88079626a2bfb1f26084a066793c0,2,
MDExOlB1bGxSZXF1ZXN0MTg5NDIzMDM=,65,Refactoring: Cleanup ignores and fix 1.5 compatibility,fbf68703983972fb3415b787b3e5b2a5a6925930,5,
MDExOlB1bGxSZXF1ZXN0MjI1MzM5NzE=,103,Fixes issue #99 : RETURNS_DEEP_STUBS automatically tries to create serializable mocks,7baf03510cbea8bdce9cb1edffe31899aea4b2dc,2,
MDExOlB1bGxSZXF1ZXN0MjU0NzYyNjI=,131,Improve documentation: remove typos in the readme file,82f74c843a63819305c37d6632269ddc5b920601,1,
MDExOlB1bGxSZXF1ZXN0MjYxMzAzMjI=,142,Fix #128 : Deep stubbing with generic responses in the call chain is not working,528c115bd55cce53d6cfa29d07d2376989b40851,2,
MDExOlB1bGxSZXF1ZXN0MjYzOTg4NzI=,144,enum Answers implements now Answer<Object>,247d8eed88951a5e19091d7b809e01e902fc2ad7,4,
MDExOlB1bGxSZXF1ZXN0Mjc5OTMzMTM=,163,GitHubIssues fetcher is now aware of GitHub pagination,666cbed880a0b32225ce7a79b964bc08e9003341,4,
MDExOlB1bGxSZXF1ZXN0Mjc5OTg1MDc=,165,Fix typos in CONTRIBUTING.md.,673193d56fc9cf60fda2a6998b8ae7b1ebc572ee,1,
MDExOlB1bGxSZXF1ZXN0MjkzNDQyOTQ=,171,Replace CGLIB by Bytebuddy,a7185076bd5a713cabc4d9e487944d1213afbc74,50,
MDExOlB1bGxSZXF1ZXN0MzE2NzQzNDM=,184,Fixes typo,560240de677fc45942b08c223f88910d85f89c9c,1,
