id,number,title,mergeCommit,changedFiles,changedPackages
MDExOlB1bGxSZXF1ZXN0MTg2MzIxMA==,1,Initial import.,f56cbd22368ad4b5d6652f29647d63fc2ea08f40,63,
MDExOlB1bGxSZXF1ZXN0MTg2MzM3OQ==,2,Give the in-progress code a SNAPSHOT version number.,37de950ccc0342a2e776b23207d1f0a41c4e1173,1,
MDExOlB1bGxSZXF1ZXN0MTg2MzcwOA==,3,Enforce javac version 1.7 or better.,7f84db4a4679b71a0f8b2bc500570a3d9d90c851,1,
MDExOlB1bGxSZXF1ZXN0MTg2NDg0Mw==,4,Don't connect to external hosts in unit tests.,57cb8a8813d97242617497afd30e7711a599a51a,1,
MDExOlB1bGxSZXF1ZXN0MTg2NDkxNg==,5,Don't sign artifacts in the default configuration.,a08e68150d8f3552c6bc1a3fa4feb475a34d4b27,1,
MDExOlB1bGxSZXF1ZXN0MTg2ODcwMA==,6,Use Square's regular groupId for okhttp.,9c9ae224e1b17d62e64b644d8f923c59135864af,1,
MDExOlB1bGxSZXF1ZXN0MTg2ODkyNw==,7,Remove duplicate plugin definitions.,10dc1c1f8bf602286539bd1f4358be6bec64f103,1,
MDExOlB1bGxSZXF1ZXN0MTg4MTk4Ng==,8,Don't use jarjar to strip unused classes.,cb63e3b86c015ca2e06bd0ea5c72d82e2efe73b7,1,
MDExOlB1bGxSZXF1ZXN0MTkxNDM0MQ==,9,General project clean-up and tweaks.,67c6551470f412cf37b3344f89b38211ad4fc01b,30,
MDExOlB1bGxSZXF1ZXN0MTk0NzE5NQ==,10,Use bouncy castle to generate certs for TLS.,f45cb10b82aa9127bb14996ad75c77cb910cb42f,3,
MDExOlB1bGxSZXF1ZXN0MTk0ODM1Mg==,11,Uncomment more HTTPS tests.,67f3df36b64276a66c2e63891bcfa2351cabc975,5,
MDExOlB1bGxSZXF1ZXN0MTk1MTcxOQ==,12,Support Froyo.,c5b71332197188acccabdd151ad64f8e66b598dd,17,
MDExOlB1bGxSZXF1ZXN0MTk2MDg3Mw==,13,Fill out known issues in the OkHttp README.,9e2874637c930aa17e3e2b885036720e0900b2c1,3,
MDExOlB1bGxSZXF1ZXN0MjAxOTE3Mg==,14,Add a missing copyright header for Libcore.,4c1b39b7fdda5083d76cebb3a707d3460510d95e,1,
