id,number,title,mergeCommit,changedFiles,changedPackages
MDExOlB1bGxSZXF1ZXN0MTM2MzYz,3,"Please Review:  PUT, DELETE, path params, fixed query params, RestAdapter breakapart",5c0c6ce5b3b45ccb0663256c6a864887ecf23a76,16,
MDExOlB1bGxSZXF1ZXN0MTM3ODU4,4,Added a method to fsync directories.,fc4ffe7f70c00d24474585ce76a91c7f4c48050a,17,
MDExOlB1bGxSZXF1ZXN0MTcxOTUz,5,Repackage gson into retrofit.internal.gson,84dde61eacc779f0957f15d4d20a8518fa58c700,9,
MDExOlB1bGxSZXF1ZXN0MTcyNTY3,6,Logging unexpected errors in RestAdapter.,b59756db456f3f8a9a1939be921bb7a8372af732,1,
MDExOlB1bGxSZXF1ZXN0MjkxNzY0,7,Allow Server extensions; improved FilesTest,ac809f4a87ca73ff5dcba7b337675f0499cbb1c1,2,
MDExOlB1bGxSZXF1ZXN0MzA0NDU2,8,Write header before truncating QueueFile,47e51a7bcd639394a3495ae3e48d2cb7920e576c,2,
MDExOlB1bGxSZXF1ZXN0MzI1Mjg3,9,Improve Retrofit http logging,e9a10c6334ff42ec160d2ddd7c5b13e8ca46156d,2,
MDExOlB1bGxSZXF1ZXN0NDc4MzAw,10,Fixes failure to transmit interesting unicode characters,605bdabfd5c9b462cf38fab8d2c4adfea88c209a,1,
MDExOlB1bGxSZXF1ZXN0NTIwODU0,11,Adding a preInvoke callback for right before http call is being made.,caefca477c7d8bad34b2729a9a0eda9c0bd04115,5,
MDExOlB1bGxSZXF1ZXN0NTM2Njgw,12,JSON request entity support,6df1df81229f55a920737ff1ae41003830cf3793,12,
MDExOlB1bGxSZXF1ZXN0NTg5OTYw,13,Makes the gson instance Guice injectable rather than hard coding it.,08451de786b918071ccc12afbe146efeff8bd512,13,
MDExOlB1bGxSZXF1ZXN0NjAwOTI0,14,Adds an int statusCode parameter to clientError and serverError.,d4891d43353d8504c0704eb212dfcd546aafc260,5,
MDExOlB1bGxSZXF1ZXN0NjA1Mzgy,15,Removing preInvoke and constructing headers on the main thread,fb2b9490b28034608a4fbf4cab838da851e7d580,6,
MDExOlB1bGxSZXF1ZXN0Njc4NDYz,16,Update to GSON 2.1,dc6f4a065386c7d0e01100e6a6e304d52837e666,3,
MDExOlB1bGxSZXF1ZXN0Njc4OTM1,17,Doc tweaks,22f78bebc7c638fe1bce13f6251bd68080167b6e,1,
MDExOlB1bGxSZXF1ZXN0NzgxMzY0,18,Stops bad behavior,605ac7538bcd624ebec618dcf3dd7361e054dc82,1,
MDExOlB1bGxSZXF1ZXN0ODAyNDkx,19,Moving header construction back to bg thread,4a775ff65be5d6fc44a59e0c0244233290ef13db,1,
MDExOlB1bGxSZXF1ZXN0ODQ5Mjgy,20,Log the api url for failed requests,a0b75e4c3fec1657bd556c69f2287b435e94b590,1,
MDExOlB1bGxSZXF1ZXN0MTA0NDk3OQ==,23,Serialize HTTP request params on main thread,a7f395d80c6bdbaf438735d03f45c619503838a2,1,
MDExOlB1bGxSZXF1ZXN0MTA0Njk4Mg==,24,Serializing to json immediately in JsonTypedBytes constructor.,ffc1227c75e4dbee6db58b37077715fa8d4c1ba9,1,
MDExOlB1bGxSZXF1ZXN0MTEzMjE1Mw==,25,Mavenize.,c4d3ab2f08c253340785da197fedbc927a13693a,101,
MDExOlB1bGxSZXF1ZXN0MTI2Nzk3Mg==,27,Two tweaks,9139e87d7705fb3f201142250730eb439589bd16,4,
MDExOlB1bGxSZXF1ZXN0MTM3NzY2NA==,28,Log the api url and start time for request failures and successes,bc4fc2517ed79c43fd3d845dd0a26fdadd04e411,19,
MDExOlB1bGxSZXF1ZXN0MTM4MzIxNw==,29,Introduce checkstyle to enforce code style. Clean-up files to pass.,b06133c68f7928a6ecd2a81b0b4a1ae25032faae,19,
MDExOlB1bGxSZXF1ZXN0MTQwMTM3Mw==,30,Stop treating 403s like 401s.,22e200fb0ab1cfb84b742d21837ece08a1c4f0a3,1,
MDExOlB1bGxSZXF1ZXN0MTQwNjM2Mw==,31,Use built-in constants for HTTP status codes.,8309ce2bca398ba5bf580aecfd40ec2b4ebf18f9,1,
MDExOlB1bGxSZXF1ZXN0MTQ2OTMwNw==,32,"Exposes RestAdapter#createProvider, to allow custom service wrappers.",64e79d0ca9dbc8f5d77fa1c1c55afffe4f113b7a,2,
MDExOlB1bGxSZXF1ZXN0MTQ4ODUyMQ==,33,Introduces MainThread#executeOnMain.,efa8a55e5e7ee64925fd5f37621f251de6b2487a,4,
MDExOlB1bGxSZXF1ZXN0MTYwNDI2Mw==,34,Upgrade to Gson 2.2,7f48e6e5b022e53f402ca9a59f159959106d8389,1,
MDExOlB1bGxSZXF1ZXN0MTYyMTA0OQ==,35,Adding a beforeCall() to HttpProfiler.,bd245ccedf5c1ef02d2cf459c827c413fe0f838a,2,
MDExOlB1bGxSZXF1ZXN0MTYzMDA3NA==,36,Temporarily roll back to GSON 2.1.,e66911c9307733992ed728084e0e0808ff45503a,1,
MDExOlB1bGxSZXF1ZXN0MTY3NjMzNw==,37,"ANDROID-3631: PUTs don't have a content-type, don't NPE on them",0feff4ede9e16ef5879b1a7db11fbe63f9b43bc1,1,
MDExOlB1bGxSZXF1ZXN0MTY3Njg1OA==,38,Make RestAdapter work with JSR-330 injectors other than Guice.,2aa4f0c0f5c23be7a5fbeda14a74f3f2890ade52,5,
MDExOlB1bGxSZXF1ZXN0MTgzMDMwNw==,40,Support JSR-330 instead of Guice.,85f201f6de3e0e9c159eb8457fa6391b77b37f7b,6,
MDExOlB1bGxSZXF1ZXN0MjA0MzI4NQ==,41,Adding a human-readable name to the Server interface,76f12f599aebd1f3148eddea430394f5f1229f00,1,
MDExOlB1bGxSZXF1ZXN0MjA1OTk2Mg==,42,Update Gson to 2.2.3-SNAPSHOT.,8d7cc1f582431bc64f065341548ab32ac0159198,1,
MDExOlB1bGxSZXF1ZXN0MjA2MTAxOQ==,43,Roll back gson change: it breaks serialization,8333a7725dc69f2aeb9c6ae4e47bbfccf976f2e2,1,
MDExOlB1bGxSZXF1ZXN0MjA2NTUwOQ==,44,"Restore Gson 2.2.3-SNAPSHOT, which now supports serialization.",0fa393c1b2e49bbb37ab4ed18970b4f89901b745,1,
MDExOlB1bGxSZXF1ZXN0MjA2ODEyMA==,45,Improve response time logging: show elapsed ms,43dfbf6963bcb5954d47fdaac86bb38c0c11cdbc,3,
